Ticker,Company Name,Sector,Industry
ADX,"Adams Diversified Equity Fund, Inc.",Financial Services,Asset Management
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified
AEL,N/A,N/A,N/A
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric
AES,The AES Corporation,Utilities,Utilities - Diversified
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services
AEVA,"Aeva Technologies, Inc.",Technology,Software - Infrastructure
AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty
AFI,N/A,N/A,N/A
AFL,Aflac Incorporated,Financial Services,Insurance - Life
AFT,N/A,N/A,N/A
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery
AGE,N/A,N/A,N/A
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services
AGN,N/A,N/A,N/A
AGO,Assured Guaranty Ltd.,Financial Services,Insurance - Specialty
AGRAGS,N/A,N/A,N/A
AGTI,N/A,N/A,N/A
AGX,"Argan, Inc.",Industrials,Engineering & Construction
AH,N/A,N/A,N/A
AHC,N/A,N/A,N/A
AHH,Armada Hoffler Properties Inc,Real Estate,REIT - Diversified
AHR,"American Healthcare REIT, Inc.",Real Estate,REIT - Healthcare Facilities
AHS,N/A,N/A,N/A
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel
AI,"C3.ai, Inc.",Technology,Software - Infrastructure
AIF,N/A,N/A,N/A
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified
AIM,N/A,Healthcare,Biotechnology
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing
AINC,N/A,N/A,N/A
AIR,AAR Corp.,Industrials,Aerospace & Defense
AIRI,Air Industries Group,Industrials,Aerospace & Defense
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers
AJRD,N/A,N/A,N/A
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Apparel Retail
AKG,N/A,N/A,N/A
AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic
AKR,Acadia Realty Trust,Real Estate,REIT - Retail
AL,Air Lease Corporation,Industrials,Rental & Leasing Services
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies
ALE,N/A,N/A,N/A
ALEX,Alexander & Baldwin Inc,Real Estate,REIT - Retail
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery
ALIT,"Alight, Inc.",Technology,Software - Application
ALK,"Alaska Air Group, Inc.",Industrials,Airlines
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty
ALLE,Allegion plc,Industrials,Security & Protection Services
ALLY,Ally Financial Inc.,Financial Services,Credit Services
ALP-PQ,N/A,N/A,N/A
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services
ALTM,N/A,N/A,N/A
ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts
ALX,"Alexander's, Inc.",Real Estate,REIT - Retail
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream
AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,Packaging & Containers
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management
AMH,American Homes 4 Rent,Real Estate,REIT - Residential
AMID,Argent Mid Cap ETF,N/A,N/A
AMK,N/A,N/A,N/A
AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology
AMPS,N/A,N/A,N/A
AMPX,"Amprius Technologies, Inc.",Industrials,Electrical Equipment & Parts
AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials,Coking Coal
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities
AMT,American Tower Corporation,Real Estate,REIT - Specialty
AMWL,American Well Corporation,Healthcare,Health Information Services
AMX,"América Móvil, S.A.B. de C.V.",Communication Services,Telecom Services
AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships
ANET,"Arista Networks, Inc.",Technology,Computer Hardware
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail
ANFI,N/A,N/A,N/A
ANH,N/A,N/A,N/A
ANRO,N/A,Healthcare,Biotechnology
ANTM,N/A,N/A,N/A
ANVSAOMR,N/A,N/A,N/A
AON,Aon plc,Financial Services,Insurance Brokers
AORT,"Artivion, Inc.",Healthcare,Medical Devices
AOSAP,N/A,N/A,N/A
APA,APA Corporation,Energy,Oil & Gas E&P
APAM,Artisan Partners Asset Management Inc.,Financial Services,Asset Management
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals
APG,APi Group Corporation,Industrials,Engineering & Construction
APH,Amphenol Corporation,Technology,Electronic Components
APHA,N/A,N/A,N/A
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management
APRN,N/A,N/A,N/A
APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment
APTS,N/A,N/A,N/A
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
APU,N/A,N/A,N/A
AQUA,N/A,N/A,N/A
AR,Antero Resources Corporation,Energy,Oil & Gas E&P
ARA,N/A,N/A,N/A
ARC,N/A,N/A,N/A
ARCH,N/A,N/A,N/A
ARCO,Arcos Dorados Holdings Inc.,Consumer Cyclical,Restaurants
ARD,N/A,N/A,N/A
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",Financial Services,Asset Management
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office
AREN,"The Arena Group Holdings, Inc.",Communication Services,Internet Content & Information
ARES,Ares Management Corporation,Financial Services,Asset Management
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,REIT - Mortgage
ARIS,Aris Mining Corporation,Basic Materials,Gold
ARL,"American Realty Investors, Inc.",Real Estate,Real Estate Services
ARLO,"Arlo Technologies, Inc.",Industrials,Building Products & Equipment
ARMKARMP,N/A,N/A,N/A
ARNC,N/A,N/A,N/A
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT - Mortgage
ARW,"Arrow Electronics, Inc.",Technology,Electronics & Computer Distribution
AS,"Amer Sports, Inc.",Consumer Cyclical,Leisure
ASA,ASA Gold and Precious Metals Limited,Financial Services,Asset Management
ASAN,"Asana, Inc.",Technology,Software - Application
ASB,Associated Banc-Corp,Financial Services,Banks - Regional
ASC,Ardmore Shipping Corporation,Industrials,Marine Shipping
ASGN,ASGN Incorporated,Technology,Information Technology Services
ASH,Ashland Inc.,Basic Materials,Specialty Chemicals
ASIX,AdvanSix Inc.,Basic Materials,Chemicals
ASPN,"Aspen Aerogels, Inc.",Industrials,Building Products & Equipment
ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductors
ASXC,N/A,N/A,N/A
AT,N/A,N/A,N/A
ATCO,N/A,N/A,N/A
ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure
ATGE,Adtalem Global Education Inc,Consumer Defensive,Education & Training Services
ATH,N/A,N/A,N/A
ATHMATI,N/A,N/A,N/A
ATIP,N/A,N/A,N/A
ATKR,Atkore Inc.,Industrials,Electrical Equipment & Parts
ATMU,Atmus Filtration Technologies Inc.,Consumer Cyclical,Auto Parts
ATNM,"Actinium Pharmaceuticals, Inc.",Healthcare,Biotechnology
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas
ATR,"AptarGroup, Inc.",Healthcare,Medical Instruments & Supplies
ATTO,N/A,N/A,N/A
ATTP,N/A,N/A,N/A
ATUS,N/A,N/A,N/A
AU,AngloGold Ashanti plc,Basic Materials,Gold
AULT,N/A,N/A,N/A
AUMN,Golden Minerals Company,Basic Materials,Other Precious Metals & Mining
AVA,Avista Corporation,Utilities,Utilities - Diversified
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential
AVDX,N/A,N/A,N/A
AVG,Anew Health Ltd,N/A,N/A
AVH,N/A,N/A,N/A
AVLR,N/A,N/A,N/A
AVNS,"Avanos Medical, Inc.",Healthcare,Medical Devices
AVNT,Avient Corporation,Basic Materials,Specialty Chemicals
AVPAVT,N/A,N/A,N/A
AVTR,"Avantor, Inc.",Healthcare,Medical Instruments & Supplies
AVX,Avax One Technology Ltd.,Financial Services,Asset Management
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers
AVYA,N/A,N/A,N/A
AWI,"Armstrong World Industries, Inc.",Industrials,Building Products & Equipment
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water
AWR,American States Water Company,Utilities,Utilities - Regulated Water
AX,"Axos Financial, Inc.",Financial Services,Banks - Regional
AXE,N/A,N/A,N/A
AXL,Dauch Corporation,Consumer Cyclical,Auto Parts
AXP,American Express Company,Financial Services,Credit Services
AXR,AMREP Corporation,Real Estate,Real Estate - Development
AXS,AXIS Capital Holdings Limited,Financial Services,Insurance - Specialty
AXTA,Axalta Coating Systems Ltd.,Basic Materials,Specialty Chemicals
AXU,N/A,N/A,N/A
AYI,Acuity Inc.,Industrials,Electrical Equipment & Parts
AYR,N/A,N/A,N/A
AYX,N/A,N/A,N/A
AZ,A2Z Cust2Mate Solutions Corp.,Technology,Software - Application
AZEK,N/A,N/A,N/A
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts
AZRE,N/A,N/A,N/A
AZZ,AZZ Inc.,Industrials,Specialty Business Services
B,N/A,Basic Materials,Gold
BA,The Boeing Company,Industrials,Aerospace & Defense
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail
BAC,Bank of America Corporation,Financial Services,Banks - Diversified
BAH,Booz Allen Hamilton Holding Corporation,Industrials,Consulting Services
BAK,Braskem S.A.,Basic Materials,Chemicals
BALY,Bally's Corporation,Consumer Cyclical,Resorts & Casinos
BAM,Brookfield Asset Management Ltd.,Financial Services,Asset Management
BANC,"Banc of California, Inc.",Financial Services,Banks - Regional
BAP,Credicorp Ltd.,Financial Services,Banks - Regional
BARK,"BARK, Inc.",Consumer Cyclical,Specialty Retail
BAS,N/A,N/A,N/A
BATL,Battalion Oil Corporation,Energy,Oil & Gas E&P
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies
BBAI,"BigBear.ai Holdings, Inc.",Technology,Information Technology Services
BBDCBBLN,N/A,N/A,N/A
BBU,Brookfield Business Partners L.P.,Industrials,Conglomerates
BBVABBW,N/A,N/A,N/A
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail
BBX,N/A,N/A,N/A
BBXTBBYBC,N/A,N/A,N/A
BCC,Boise Cascade Company,Basic Materials,Lumber & Wood Production
BCE,BCE Inc.,Communication Services,Telecom Services
BCEI,N/A,N/A,N/A
BCO,The Brink's Company,Industrials,Security & Protection Services
BCRH,N/A,N/A,N/A
BDC,Belden Inc.,Technology,Communication Equipment
BDN,Brandywine Realty Trust,Real Estate,REIT - Office
BDVBDX,N/A,N/A,N/A
BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts
BEDU,N/A,N/A,N/A
BENBERY,N/A,N/A,N/A
BEST,N/A,N/A,N/A
BF,N/A,N/A,N/A
BF.B,N/A,N/A,N/A
BFAM,Bright Horizons Family Solutions Inc.,Consumer Cyclical,Personal Services
BFH,"Bread Financial Holdings, Inc.",Financial Services,Credit Services
BFLY,"Butterfly Network, Inc.",Healthcare,Medical Devices
BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail
BG,Bunge Global SA,Consumer Defensive,Farm Products
BGG,N/A,N/A,N/A
BGS,"B&G Foods, Inc.",Consumer Defensive,Packaged Foods
BGSF,"BGSF, Inc.",Industrials,Staffing & Employment Services
BH,Biglari Holdings Inc.,Consumer Cyclical,Restaurants
BHB,Bar Harbor Bankshares,Financial Services,Banks - Regional
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers - Specialty & Generic
BHE,"Benchmark Electronics, Inc.",Technology,Electronic Components
BHGE,N/A,N/A,N/A
BHI,N/A,N/A,N/A
BHIL,N/A,N/A,N/A
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining
BHR,Braemar Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel
BHVN,Biohaven Ltd.,Healthcare,Biotechnology
BID,N/A,N/A,N/A
BIG,N/A,N/A,N/A
BILL,"BILL Holdings, Inc.",Technology,Software - Application
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices
BIP,Brookfield Infrastructure Partners L.P.,Utilities,Utilities - Diversified
BIRK,Birkenstock Holding plc,Consumer Cyclical,Footwear & Accessories
BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,Discount Stores
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified
BKD,Brookdale Senior Living Inc.,Healthcare,Medical Care Facilities
BKE,"The Buckle, Inc.",Consumer Cyclical,Apparel Retail
BKFS,N/A,N/A,N/A
BKH,Black Hills Corporation,Utilities,Utilities - Regulated Gas
BKI,N/A,N/A,N/A
BKKT,"Bakkt, Inc.",Technology,Software - Infrastructure
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services
BKSY,BlackSky Technology Inc.,Industrials,Specialty Business Services
BKU,"BankUnited, Inc.",Financial Services,Banks - Regional
BLCO,Bausch + Lomb Corporation,Healthcare,Medical Instruments & Supplies
BLD,TopBuild Corp.,Industrials,Engineering & Construction
BLK,"BlackRock, Inc.",Financial Services,Asset Management
BLL,N/A,N/A,N/A
BLND,"Blend Labs, Inc.",Technology,Software - Application
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",Financial Services,Banks - Regional
BLX BMI,N/A,N/A,N/A
BMTX,N/A,N/A,N/A
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General
BN,Brookfield Corporation,Financial Services,Asset Management
BNED,"Barnes & Noble Education, Inc.",Consumer Cyclical,Specialty Retail
BNL,"Broadstone Net Lease, Inc.",Real Estate,REIT - Diversified
BODY,N/A,N/A,N/A
BOH,Bank of Hawaii Corporation,Financial Services,Banks - Regional
BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail
BORR,Borr Drilling Limited,Energy,Oil & Gas Drilling
BOWL,N/A,N/A,N/A
BOX,"Box, Inc.",Technology,Software - Infrastructure
BOXD,N/A,N/A,N/A
BPL,N/A,N/A,N/A
BPMP,N/A,N/A,N/A
BPT,N/A,N/A,N/A
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services
BRBR,"BellRing Brands, Inc.",Consumer Defensive,Packaged Foods
BRC,Brady Corporation,Industrials,Security & Protection Services
BRCC,BRC Inc.,Consumer Defensive,Packaged Foods
BRDG,N/A,N/A,N/A
BRFS,N/A,N/A,N/A
BRG,N/A,N/A,N/A
BRK-A,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified
BRMK,N/A,N/A,N/A
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers
BROS,Dutch Bros Inc.,Consumer Cyclical,Restaurants
BRS,N/A,N/A,N/A
BRSP,"BrightSpire Capital, Inc.",Real Estate,REIT - Mortgage
BRT,BRT Apartments Corp.,Real Estate,REIT - Residential
BRX,Brixmor Property Group Inc.,Real Estate,REIT - Retail
BSAC,Banco Santander-Chile,Financial Services,Banks - Regional
BSIG,N/A,N/A,N/A
BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P
BSX,Boston Scientific Corporation,Healthcare,Medical Devices
BTE,Baytex Energy Corp.,Energy,Oil & Gas E&P
BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco
BTN,N/A,N/A,N/A
BTTR,N/A,N/A,N/A
BTU,Peabody Energy Corporation,Energy,Thermal Coal
BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers
BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail
BURU,"Nuburu, Inc.",Industrials,Specialty Industrial Machinery
BV,"BrightView Holdings, Inc.",Industrials,Specialty Business Services
BVN,Compañía de Minas Buenaventura S.A.A.,Basic Materials,Other Precious Metals & Mining
BW,"Babcock & Wilcox Enterprises, Inc.",Industrials,Specialty Industrial Machinery
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts
BWP,"Boardwalk Pipeline Partners, LP",N/A,N/A
BWXT,"BWX Technologies, Inc.",Industrials,Aerospace & Defense
BX,Blackstone Inc.,Financial Services,Asset Management
BXC,BlueLinx Holdings Inc.,Industrials,Industrial Distribution
BXG,N/A,N/A,N/A
BXMT,"Blackstone Mortgage Trust, Inc.",Real Estate,REIT - Mortgage
BXP,"BXP, Inc.",Real Estate,REIT - Office
BY,"Byline Bancorp, Inc.",Financial Services,Banks - Regional
BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos
BYON,N/A,N/A,N/A
BZH,"Beazer Homes USA, Inc.",Consumer Cyclical,Residential Construction
C,Citigroup Inc.,Financial Services,Banks - Diversified
CAAP,Corporación América Airports S.A.,Industrials,Airports & Air Services
CABO,"Cable One, Inc.",Communication Services,Telecom Services
CACI,CACI International Inc,Technology,Information Technology Services
CADE,Cadence Bank,Financial Services,Banks - Regional
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution
CAJ,N/A,N/A,N/A
CAL,"Caleres, Inc.",Consumer Cyclical,Apparel Retail
CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,Farm Products
CALX,"Calix, Inc.",Technology,Software - Infrastructure
CANG,Cango Inc.,Financial Services,Capital Markets
CANO,N/A,N/A,N/A
CAP,N/A,N/A,N/A
CAPL,CrossAmerica Partners LP,Energy,Oil & Gas Refining & Marketing
CAR,"Avis Budget Group, Inc.",Industrials,Rental & Leasing Services
CARM,"Carisma Therapeutics, Inc.",Healthcare,Biotechnology
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment
CARS,Cars.com Inc.,Communication Services,Internet Content & Information
CAS,Simplify China A Shares PLUS Income ETF,N/A,N/A
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery
CATO,The Cato Corporation,Consumer Cyclical,Apparel Retail
CAVA,"CAVA Group, Inc.",Consumer Cyclical,Restaurants
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty
CBGCBK,N/A,N/A,N/A
CBL,"CBL & Associates Properties, Inc.",Real Estate,REIT - Retail
CBM,N/A,N/A,N/A
CBPX,N/A,N/A,N/A
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services
CBT,Cabot Corporation,Basic Materials,Specialty Chemicals
CBU,"Community Financial System, Inc.",Financial Services,Banks - Regional
CBZ,"CBIZ, Inc.",Industrials,Specialty Business Services
CC,The Chemours Company,Basic Materials,Specialty Chemicals
CCEL,"Cryo-Cell International, Inc.",Healthcare,Medical Care Facilities
CCF,N/A,N/A,N/A
CCH,N/A,N/A,N/A
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty
CCK,"Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services
CCO,"Clear Channel Outdoor Holdings, Inc.",Communication Services,Advertising Agencies
CCR,N/A,N/A,N/A
CCRD,N/A,N/A,N/A
CCSCCU,N/A,N/A,N/A
CDE,"Coeur Mining, Inc.",Basic Materials,Gold
CDLR,Cadeler A/S,Industrials,Engineering & Construction
CDP,COPT Defense Properties,Real Estate,REIT - Office
CDR,N/A,N/A,N/A
CDRE,"Cadre Holdings, Inc.",Industrials,Aerospace & Defense
CE,Celanese Corporation,Basic Materials,Chemicals
CEC,N/A,N/A,N/A
CEI,N/A,N/A,N/A
CEIX,N/A,N/A,N/A
CEL,N/A,N/A,N/A
CELPCEPU,N/A,N/A,N/A
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional
CFICFR,N/A,N/A,N/A
CFX,N/A,N/A,N/A
CGA,N/A,N/A,N/A
CGC,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic
CHA,Chagee Holdings Limited,Consumer Cyclical,Restaurants
CHCT,Community Healthcare Trust Incorporated,Real Estate,REIT - Healthcare Facilities
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products
CHE,Chemed Corporation,Healthcare,Medical Care Facilities
CHGG,"Chegg, Inc.",Consumer Defensive,Education & Training Services
CHH,"Choice Hotels International, Inc.",Consumer Cyclical,Lodging
CHK,N/A,N/A,N/A
CHL,N/A,N/A,N/A
CHMI,Cherry Hill Mortgage Investment Corporation,Real Estate,REIT - Mortgage
CHN,N/A,N/A,N/A
CHPT,"ChargePoint Holdings, Inc.",Consumer Cyclical,Specialty Retail
CHRA,N/A,N/A,N/A
CHS,N/A,N/A,N/A
CHT,"Chunghwa Telecom Co., Ltd.",Communication Services,Telecom Services
CHU,N/A,N/A,N/A
CHWY,"Chewy, Inc.",Consumer Cyclical,Internet Retail
CHX,N/A,N/A,N/A
CI,The Cigna Group,Healthcare,Healthcare Plans
CIACIEN,N/A,N/A,N/A
CIG,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified
CIM,Chimera Investment Corporation,Real Estate,REIT - Mortgage
CINR,N/A,N/A,N/A
CIO,N/A,N/A,N/A
CIR,N/A,N/A,N/A
CISN,N/A,N/A,N/A
CIT,N/A,N/A,N/A
CIVI,"Civitas Resources, Inc.",Energy,Oil & Gas E&P
CIX,CompX International Inc.,Industrials,Security & Protection Services
CJ,N/A,N/A,N/A
CJESCL,N/A,N/A,N/A
CLB,Core Laboratories Inc.,Energy,Oil & Gas Equipment & Services
CLDR,N/A,N/A,N/A
CLDT,Chatham Lodging Trust,Real Estate,REIT - Hotel & Motel
CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel
CLGX,N/A,N/A,N/A
CLH,"Clean Harbors, Inc.",Industrials,Waste Management
CLI,N/A,N/A,N/A
CLNC,N/A,N/A,N/A
CLNY,N/A,N/A,N/A
CLPR,Clipper Realty Inc.,Real Estate,REIT - Residential
CLR,N/A,N/A,N/A
CLS,Celestica Inc.,Technology,Electronic Components
CLVT,Clarivate Plc,Technology,Information Technology Services
CLW,Clearwater Paper Corporation,Basic Materials,Paper & Paper Products
CLXCMA,N/A,N/A,N/A
CMC,Commercial Metals Company,Industrials,Metal Fabrication
CMCL,Caledonia Mining Corporation Plc,Basic Materials,Gold
CMCM,Cheetah Mobile Inc.,Communication Services,Internet Content & Information
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery
CMLP,N/A,N/A,N/A
CMN,N/A,N/A,N/A
CMO,N/A,N/A,N/A
CMP,"Compass Minerals International, Inc.",Basic Materials,Other Industrial Metals & Mining
CMRE,Costamare Inc.,Industrials,Marine Shipping
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
CMT,"Core Molding Technologies, Inc.",Basic Materials,Specialty Chemicals
CMTG,"Claros Mortgage Trust, Inc.",Real Estate,REIT - Mortgage
CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty
CNC,Centene Corporation,Healthcare,Healthcare Plans
CNDT,Conduent Incorporated,Technology,Information Technology Services
CNF,CNFinance Holdings Limited,Financial Services,Mortgage Finance
CNHI,N/A,N/A,N/A
CNK,"Cinemark Holdings, Inc.",Communication Services,Entertainment
CNM,"Core & Main, Inc.",Industrials,Industrial Distribution
CNNE,"Cannae Holdings, Inc.",Consumer Cyclical,Restaurants
CNO,"CNO Financial Group, Inc.",Financial Services,Insurance - Life
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric
CNR,"Core Natural Resources, Inc.",Energy,Thermal Coal
CNS,"Cohen & Steers, Inc.",Financial Services,Asset Management
CNX,CNX Resources Corporation,Energy,Oil & Gas E&P
CNXM,N/A,N/A,N/A
CO,N/A,N/A,N/A
COE,51Talk Online Education Group,Consumer Defensive,Education & Training Services
COF,Capital One Financial Corporation,Financial Services,Credit Services
COG,N/A,N/A,N/A
COHN,Cohen & Company Inc.,Financial Services,Capital Markets
COLD,"Americold Realty Trust, Inc.",Real Estate,REIT - Industrial
COMP,"Compass, Inc.",Real Estate,Real Estate Services
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies
